id,x1,y1,x2,y2
0,443,132,544,148
1,94,153,123,169
2,131,153,155,168
3,162,153,188,169
4,220,153,277,168
5,155,173,287,194
6,155,198,297,223
7,362,153,546,171
8,362,171,548,188
9,362,189,548,205
10,362,205,547,223
11,79,224,106,241
12,106,224,135,241
13,136,224,164,240
14,163,224,193,241
15,194,224,222,242
16,79,242,108,258
17,107,242,135,258
18,137,242,165,258
19,164,241,195,258
20,195,242,222,259
21,259,225,388,257
22,423,223,546,242
23,423,242,547,258
24,45,134,61,147
25,100,134,118,146
26,158,134,174,147
27,212,134,231,147
28,282,134,300,149
29,322,135,362,148
