id,x1,y1,x2,y2
0,45,71,114,87
1,199,90,222,114
2,286,93,309,114
3,373,93,394,115
4,51,133,104,149
5,106,133,162,149
6,164,135,218,147
7,219,135,282,147
8,286,134,327,148
9,358,135,365,147
10,368,134,442,149
11,50,152,91,168
12,122,155,133,168
13,155,153,162,168
14,185,152,224,169
15,276,155,285,164
16,300,156,315,219
17,324,153,361,169
18,56,178,68,214
19,83,175,149,192
20,324,171,361,186
21,322,189,362,203
22,83,200,149,216
23,322,208,362,221
24,53,224,74,257
25,224,223,256,256
26,336,244,385,258
27,388,225,421,241
28,388,242,422,258
29,62,259,105,273
30,105,259,137,273
31,139,259,161,275
32,160,260,192,274
33,196,260,267,272
34,268,259,307,273
35,311,259,366,274
36,94,281,239,297
37,280,275,310,302
38,318,276,347,301
39,354,277,384,302
40,426,283,517,298
41,441,304,542,320
42,403,521,528,534
43,96,539,331,555
44,52,681,94,698
45,113,682,172,696
46,228,681,257,698
47,302,682,374,698
48,376,681,405,698
49,409,682,460,698
50,460,682,497,697
51,221,699,373,716
52,80,717,145,733
53,340,719,371,732
54,371,718,485,733
55,488,717,533,733
56,53,720,68,780
57,81,737,144,749
58,151,736,172,750
59,278,737,329,749
60,78,752,148,770
61,80,773,148,788
62,54,793,130,803
63,130,792,163,803
64,168,793,223,804
